,광역시명,시군구명,시군구코드,기준년도,벚나무수량,은행나무수량,느티나무수량,양버즘나무수량,단풍나무수량,메타세쿼이아수량,회화나무수량,튤립나무수량,소나무수량,잣나무수량,낙엽송수량,편백나무수량,상수리나무수량,신갈나무수량,참나무수량,기타수량,벚나무온실가스흡수량,은행나무온실가스흡수량,느티나무온실가스흡수량,양버즘나무온실가스흡수량,단풍나무온실가스흡수량,메타세쿼이아온실가스흡수량,회화나무온실가스흡수량,튤립나무온실가스흡수량,소나무온실가스흡수량,잣나무온실가스흡수량,낙엽송온실가스흡수량,편백나무온실가스흡수량,상수리나무온실가스흡수량,신갈나무온실가스흡수량,참나무온실가스흡수량,기타온실가스흡수량,합계온실가스흡수량
66,서울특별시,구로구,11530,2017,1986,3621,1846,1596,13,3,0,0,30,0,17,0,0,1078,0,1231,53.4234,128.1834,62.2102,88.7376,0.2665,0.2088,0.0,0.0,0.13505,0.0,0.120133333,0.0,0.0,8.42996,0.0,52.4406,394.1556433
67,서울특별시,금천구,11545,2017,1112,3638,411,1048,0,32,178,0,5,18,7,0,0,173,17,58,29.9128,128.7852,13.8507,58.2688,0.0,2.2272,5.785,0.0,0.022508333,0.18876,0.049466667,0.0,0.0,1.35286,0.237121667,2.4708,243.1512167
68,서울특별시,영등포구,11560,2017,2989,6101,3372,3790,194,53,110,12,40,0,193,0,0,1004,0,431,80.4041,215.9754,113.6364,210.724,3.977,3.6888,3.575,1.2228,0.180066667,0.0,1.363866667,0.0,0.0,7.85128,0.0,18.3606,660.9593133
69,서울특별시,동작구,11590,2017,1142,2191,1314,930,242,114,9,0,7,0,0,0,0,403,0,1008,30.7198,77.5614,44.2818,51.708,4.961,7.9344,0.2925,0.0,0.031511667,0.0,0.0,0.0,0.0,3.15146,0.0,42.9408,263.5826717
70,서울특별시,관악구,11620,2017,2182,2194,179,2289,0,95,109,0,59,0,0,0,0,59,0,2565,58.6958,77.6676,6.0323,127.2684,0.0,6.612,3.5425,0.0,0.265598333,0.0,0.0,0.0,0.0,0.46138,0.0,109.269,389.8145783
71,서울특별시,서초구,11650,2017,581,3243,3579,5025,0,1282,516,0,0,0,843,0,0,491,533,6,15.6289,114.8022,120.6123,279.39,0.0,89.2272,16.77,0.0,0.0,0.0,5.9572,0.0,0.0,3.83962,7.434461667,0.2556,653.9174817
72,서울특별시,강남구,11680,2017,2191,8014,2839,7713,27,867,530,65,0,0,0,0,0,629,323,1412,58.9379,283.6956,95.6743,428.8428,0.5535,60.3432,17.225,6.6235,0.0,0.0,0.0,0.0,0.0,4.91878,4.505311667,60.1512,1021.471092
73,서울특별시,송파구,11710,2017,938,12488,2285,4295,222,14,0,707,215,0,329,0,0,992,0,1844,25.2322,442.0752,77.0045,238.802,4.551,0.9744,0.0,72.0433,0.967858333,0.0,2.324933333,0.0,0.0,7.75744,0.0,78.5544,950.2872317
74,서울특별시,강동구,11740,2017,1426,7570,2281,4805,19,0,56,6,0,0,0,0,0,564,59,1580,38.3594,267.978,76.8697,267.158,0.3895,0.0,1.82,0.6114,0.0,0.0,0.0,0.0,0.0,4.41048,0.822951667,67.308,725.7274317
75,서울특별시,종로구,11110,2018,502,5351,679,1221,11,32,140,4,281,0,18,0,0,177,0,778,13.5038,189.4254,22.8823,67.8876,0.2255,2.2272,4.55,0.4076,1.264968333,0.0,0.1272,0.0,0.0,1.38414,0.0,33.1428,337.0285083
