,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
598,동호로(금호터널),D-03,11,571.0,430.0,353.0,297.0,318.0,471.0,879.0,1623.0,1709.0,1689.0,1738.0,1776.0,1738.0,1793.0,1835.0,1788.0,1796.0,1779.0,1672.0,1506.0,1366.0,1217.0,1035.0,760.0,37.551919,127.012977,서울시 중구 신당동 349-202,1255.7916666666667
610,동호로(장충체육관),A-10,11,351.0,273.0,224.0,156.0,173.0,256.0,419.0,922.0,1023.0,1204.0,1336.0,1342.0,1363.0,1444.0,1588.0,1639.0,1678.0,1726.0,1629.0,1281.0,1109.0,917.0,744.0,522.0,37.558563,127.007101,서울시 중구 장충동2가 200-99,971.625
622,뚝섬로(용비교),D-06,11,555.0,389.0,292.0,254.0,272.0,514.0,1116.0,1664.0,1951.0,2061.0,2054.0,1954.0,1863.0,1895.0,1926.0,1926.0,1803.0,1850.0,1807.0,1629.0,1383.0,1290.0,1100.0,765.0,37.542006,127.020674,서울시 성동구 옥수동 산 1-11 ,1346.375
634,마포대교,C-07,11,889.0,665.0,494.0,374.0,456.0,1035.0,2342.0,3201.0,3530.0,3364.0,3220.0,3153.0,2885.0,3103.0,3116.0,3176.0,3389.0,3802.0,3893.0,3231.0,2810.0,2520.0,2096.0,1323.0,37.533628,126.936512,서울시 영등포구 여의도동 85-2,2419.4583333333335
646,망우로(망우리공원),B-04,11,225.0,173.0,132.0,121.0,149.0,310.0,591.0,950.0,1109.0,954.0,855.0,836.0,813.0,831.0,879.0,931.0,1064.0,1186.0,1165.0,893.0,635.0,540.0,430.0,307.0,37.601476,127.115674,경기도 구리시 교문동 346-3,669.9583333333334
658,문성로(난곡터널),D-32,11,170.0,144.0,116.0,99.0,100.0,156.0,223.0,366.0,418.0,390.0,387.0,387.0,383.0,401.0,412.0,428.0,463.0,471.0,450.0,394.0,338.0,299.0,262.0,203.0,37.479046,126.924252,서울시 관악구 신림동 438-44,310.8333333333333
670,반포대교,C-11,11,856.0,585.0,431.0,347.0,346.0,728.0,1555.0,2479.0,2722.0,2685.0,2530.0,2583.0,2559.0,2530.0,2633.0,2645.0,2635.0,2409.0,2084.0,2136.0,2060.0,2041.0,1783.0,1256.0,37.514431,126.996663,서울시 서초구 반포동 647,1859.0833333333333
682,반포대로(서초역),D-37,11,626.0,423.0,298.0,242.0,233.0,549.0,1424.0,2150.0,2195.0,2428.0,2459.0,2434.0,2326.0,2396.0,2396.0,2298.0,2305.0,2169.0,2274.0,2180.0,1897.0,1762.0,1510.0,966.0,37.49624,127.005554,서울시 서초구 서초동 산 183-3 ,1664.1666666666667
694,반포대로(우면산터널),B-17,11,400.0,296.0,216.0,150.0,174.0,442.0,1217.0,1846.0,2050.0,2069.0,2087.0,2073.0,1975.0,1963.0,1972.0,2063.0,2102.0,2181.0,2171.0,1873.0,1468.0,1285.0,1051.0,627.0,37.483905,127.011416,서울시 서초구 서초동 1460-6,1406.2916666666667
706,밤고개로(세곡동사거리),B-13,11,123.0,90.0,73.0,64.0,100.0,240.0,585.0,1415.0,1657.0,1414.0,1287.0,1205.0,1104.0,1072.0,1121.0,1203.0,1458.0,1736.0,1666.0,1044.0,704.0,567.0,441.0,250.0,37.462416,127.107883,서울시 강남구 세곡동 130-6,859.125
718,백제고분로(종합운동장),D-44,11,344.0,253.0,206.0,155.0,149.0,273.0,501.0,919.0,1053.0,1079.0,1037.0,1029.0,1019.0,1041.0,1070.0,1101.0,1132.0,1192.0,1101.0,955.0,857.0,863.0,715.0,486.0,37.510639,127.078559,서울시 송파구 잠실동 124,772.0833333333334
730,북부간선도로(신내IC),B-07,11,1025.0,740.0,590.0,621.0,980.0,2417.0,2973.0,2993.0,2988.0,3089.0,3104.0,3110.0,3178.0,3197.0,3186.0,3178.0,3103.0,2919.0,2996.0,2856.0,2716.0,2508.0,2076.0,1438.0,37.613824,127.1087,서울시 중랑구 신내동 122-3,2415.875
742,북부간선로,F-04,11,1107.0,839.0,661.0,636.0,950.0,2239.0,2670.0,2713.0,2773.0,2765.0,2763.0,2757.0,2745.0,2752.0,2743.0,2748.0,2743.0,2623.0,2613.0,2633.0,2633.0,2542.0,2033.0,1505.0,37.608556,127.052577,서울시 성북구 장위동 65-175 ,2216.0833333333335
754,분당수서로,F-07,11,1395.0,980.0,731.0,621.0,827.0,2153.0,3402.0,3549.0,3655.0,3669.0,3599.0,3569.0,3596.0,3607.0,3545.0,3565.0,3600.0,3513.0,3492.0,3444.0,3420.0,3216.0,2792.0,2017.0,37.497648,127.087195,서울시 강남구 일원동 467-1,2831.5416666666665
766,분당수서로(성남시계),B-14,11,997.0,683.0,506.0,441.0,622.0,1649.0,2720.0,2738.0,2733.0,2702.0,2667.0,2658.0,2662.0,2717.0,2703.0,2785.0,2717.0,2614.0,2641.0,2623.0,2639.0,2458.0,2105.0,1487.0,37.471129,127.123078,서울시 송파구 장지동 698-5,2136.125
