BRCT_NM,SGNG_NM,SGNG_CD,STNDD_YR,CHRR_QNTT,GKGO_QNTT,ZKVA_QNTT,AMSC_QNTT,MAPLF_TRE_QNTT,MTSQ_QNTT,STJP_QNTT,TLTR_QNTT,PINE_QNTT,KRPN_QNTT,AMSY_QNTT,HNKCP_TRE_QNTT,ACTSM_QNTT,MGLOK_QNTT,OAK_QNTT,ETC_QNTT,CHRR_GRGS_ABQNT,GKGO_GRGS_ABQNT,ZKVA_GRGS_ABQNT,AMSC_GRGS_ABQNT,MAPLF_TRE_GRGS_ABQNT,MTSQ_GRGS_ABQNT,STJP_GRGS_ABQNT,TLTR_GRGS_ABQNT,PINE_GRGS_ABQNT,KRPN_GRGS_ABQNT,CONIFER_GRGS_ABQNT,HNKCP_TRE_GRGS_ABQNT,ACTSM_GRGS_ABQNT,MGLOK_GRGS_ABQNT,OAK_GRGS_ABQNT,ETC_GRGS_ABQNT,SUM_GRGS_ABQNT
강원도,인제군,42810,2017,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,10.5326,0,0,0,0,0,0,0,0,0,0,4.26,14.7926
강원도,고성군,42820,2017,2355,752,76,948,0,0,0,0,0,0,0,0,0,673,0,1692,63.3495,26.6208,2.5612,52.7088,0,0,0,0,0,0,0,0,0,5.26286,0,72.0792,222.58236
강원도,양양군,42830,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,춘천시,42110,2018,0,96,0,0,0,725,0,0,0,0,0,0,0,59,0,0,0,3.3984,0,0,0,50.46,0,0,0,0,0,0,0,0.46138,0,0,54.31978
강원도,원주시,42130,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,강릉시,42150,2018,5798,4428,1166,416,810,490,0,447,0,0,0,0,0,3401,0,6756,155.9662,156.7512,39.2942,23.1296,16.605,34.104,0,45.5493,0,0,0,0,0,26.59582,0,287.8056,785.80092
강원도,동해시,42170,2018,4838,3983,0,1439,0,0,693,0,0,0,0,0,0,322,0,2046,130.1422,140.9982,0,80.0084,0,0,22.5225,0,0,0,0,0,0,2.51804,0,87.1596,463.34894
강원도,태백시,42190,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,속초시,42210,2018,3188,3364,0,289,259,0,80,0,0,0,188,0,0,1486,0,3165,85.7572,119.0856,0,16.0684,5.3095,0,2.6,0,0,0,1.328533333,0,0,11.62052,0,134.829,376.5987533
강원도,삼척시,42230,2018,4328,2282,277,0,523,260,0,0,517,0,0,0,0,1699,0,3372,116.4232,80.7828,9.3349,0,10.7215,18.096,0,0,2.327361667,0,0,0,0,13.28618,0,143.6472,394.6191417
강원도,홍천군,42720,2018,7702,4050,58,108,733,43,0,0,52,88,0,0,0,1638,0,4603,321.4955,143.37,1.9546,6.0048,25.303,2.9928,0,0,0.234086667,0.922826667,0,0,0,12.80916,0,196.0878,711.1745733
강원도,횡성군,42730,2018,0,0,101,0,12,0,0,0,0,0,0,0,0,0,0,92,0,0,3.4037,0,0.246,0,0,0,0,0,0,0,0,0,0,3.9192,7.5689
강원도,영월군,42750,2018,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085531667,0,0,0,0,0,0,0,0.085531667
강원도,평창군,42760,2018,3255,1741,49,0,128,0,0,0,0,0,0,0,0,0,0,655,87.5595,61.6314,1.6513,0,2.624,0,0,0,0,0,0,0,0,0,0,27.903,181.3692
강원도,정선군,42770,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.845,13.845
강원도,철원군,42780,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2892,0,0,8.2892
