,구,월,시,환경지수
6407,종로구,3,23,48.673183795141064
6408,종로구,4,0,37.5460008983896
6409,종로구,4,1,36.09649846691589
6410,종로구,4,2,36.13799931055691
6411,종로구,4,3,35.1633425137847
6412,종로구,4,4,35.79770810125866
6413,종로구,4,5,35.01759305707059
6414,종로구,4,6,37.11175933720888
6415,종로구,4,7,36.41502119045021
6416,종로구,4,8,37.17089718024402
6417,종로구,4,9,37.442800756083294
6418,종로구,4,10,39.63216135085701
6419,종로구,4,11,38.537665446716595
6420,종로구,4,12,38.70001769051374
6421,종로구,4,13,38.07603388010366
6422,종로구,4,14,39.692853496149674
6423,종로구,4,15,39.70012349675403
6424,종로구,4,16,41.791249186784505
6425,종로구,4,17,41.635995481790765
6426,종로구,4,18,41.77081039519013
6427,종로구,4,19,40.59589218643879
6428,종로구,4,20,40.155928381829504
6429,종로구,4,21,38.749048584653444
6430,종로구,4,22,38.59735285684849
6431,종로구,4,23,37.43324336516496
6432,종로구,5,0,39.93832142966796
6433,종로구,5,1,38.188212069031216
6434,종로구,5,2,37.376718795500395
6435,종로구,5,3,36.147302686710034
6436,종로구,5,4,37.13950169115062
6437,종로구,5,5,36.54260588795662
6438,종로구,5,6,36.490116652573626
6439,종로구,5,7,34.54117906585348
6440,종로구,5,8,35.811679723830984
6441,종로구,5,9,35.322844979157075
6442,종로구,5,10,36.240313683942404
6443,종로구,5,11,35.91140289282396
6444,종로구,5,12,37.818787807954855
6445,종로구,5,13,39.99450315642995
6446,종로구,5,14,41.04196407680554
6447,종로구,5,15,41.933863077768876
6448,종로구,5,16,43.43340094780603
6449,종로구,5,17,42.06416608702463
6450,종로구,5,18,43.19887827327768
6451,종로구,5,19,43.847100334597656
6452,종로구,5,20,43.38506695587464
6453,종로구,5,21,42.527366550973476
6454,종로구,5,22,42.43412880619676
6455,종로구,5,23,41.56764103660474
6456,종로구,6,0,35.022885891165444
6457,종로구,6,1,33.05367292984568
6458,종로구,6,2,32.81744082031204
6459,종로구,6,3,31.270355135377866
6460,종로구,6,4,31.367495361135585
6461,종로구,6,5,30.445741072009955
6462,종로구,6,6,30.35407155055637
6463,종로구,6,7,30.07611126798198
6464,종로구,6,8,32.41098555062131
6465,종로구,6,9,33.282449436093046
6466,종로구,6,10,35.47740617128248
6467,종로구,6,11,36.12273267915551
6468,종로구,6,12,37.6932001614205
6469,종로구,6,13,38.49376965930684
6470,종로구,6,14,40.969925847207016
6471,종로구,6,15,41.8092190884856
6472,종로구,6,16,42.74740613903883
6473,종로구,6,17,42.307610585856615
6474,종로구,6,18,41.96244037921035
6475,종로구,6,19,40.761951592804586
6476,종로구,6,20,39.18271146302769
6477,종로구,6,21,37.19981153805402
6478,종로구,6,22,36.57879773639717
6479,종로구,6,23,35.463116659169295
6480,종로구,7,0,29.079175315330737
6481,종로구,7,1,27.6649923416911
6482,종로구,7,2,27.27924552563268
6483,종로구,7,3,26.1102120854128
6484,종로구,7,4,26.691432693930462
6485,종로구,7,5,25.59463984673619
6486,종로구,7,6,26.141103966795313
6487,종로구,7,7,25.185739084311788
6488,종로구,7,8,26.90989222942836
6489,종로구,7,9,27.63062339770636
6490,종로구,7,10,30.552605861883293
6491,종로구,7,11,32.54631672508417
6492,종로구,7,12,34.12242086157183
6493,종로구,7,13,34.6736022871247
6494,종로구,7,14,36.985033829435054
6495,종로구,7,15,37.37589597647824
6496,종로구,7,16,38.748880596784254
6497,종로구,7,17,38.42360007262342
6498,종로구,7,18,37.16531271614182
6499,종로구,7,19,34.82726015988294
6500,종로구,7,20,33.78171628754619
6501,종로구,7,21,32.7603556641823
6502,종로구,7,22,31.810955004581384
6503,종로구,7,23,30.42674086926448
6504,종로구,8,0,26.82295467998881
6505,종로구,8,1,25.83615058460238
6506,종로구,8,2,25.980653027873945
6507,종로구,8,3,24.777729018189724
6508,종로구,8,4,25.316647162831448
6509,종로구,8,5,24.495032117381115
6510,종로구,8,6,24.757287560070214
6511,종로구,8,7,24.419426779085498
6512,종로구,8,8,25.604858886058683
6513,종로구,8,9,26.161808293286526
6514,종로구,8,10,29.11495212078574
6515,종로구,8,11,29.199382751575495
6516,종로구,8,12,30.955313036555303
6517,종로구,8,13,31.434555509359363
6518,종로구,8,14,32.016253732584595
6519,종로구,8,15,31.6757904000413
6520,종로구,8,16,32.45166581930697
6521,종로구,8,17,31.540074978960885
6522,종로구,8,18,32.01411628980893
6523,종로구,8,19,30.467149332728095
6524,종로구,8,20,29.73684596413389
6525,종로구,8,21,27.916950596862563
6526,종로구,8,22,27.36579597312506
6527,종로구,8,23,26.6241769442176
6528,종로구,9,0,21.140575571822197
6529,종로구,9,1,20.132009450020856
6530,종로구,9,2,20.15481200667213
6531,종로구,9,3,19.148280393675833
6532,종로구,9,4,19.789758427050383
6533,종로구,9,5,19.019430516677435
6534,종로구,9,6,19.940347095818314
6535,종로구,9,7,19.2433969066509
6536,종로구,9,8,20.376637138739888
6537,종로구,9,9,21.621110464075436
6538,종로구,9,10,23.61321094223362
6539,종로구,9,11,22.877242205699325
6540,종로구,9,12,24.03142621798994
6541,종로구,9,13,23.811545065013334
6542,종로구,9,14,25.248393361581922
6543,종로구,9,15,24.969507494410855
6544,종로구,9,16,26.11412823461554
6545,종로구,9,17,25.557437024765303
6546,종로구,9,18,25.890269176502347
6547,종로구,9,19,25.70956513191926
6548,종로구,9,20,24.978261133462716
6549,종로구,9,21,23.21196829784478
6550,종로구,9,22,22.47667916659448
6551,종로구,9,23,21.46311109956111
6552,종로구,10,0,29.7350396606677
6553,종로구,10,1,28.194472764739164
6554,종로구,10,2,28.202767210196665
6555,종로구,10,3,26.57025235521935
6556,종로구,10,4,26.572705778585988
6557,종로구,10,5,25.61572036258153
6558,종로구,10,6,26.61769581604188
6559,종로구,10,7,26.617092513406586
6560,종로구,10,8,27.917844461862792
6561,종로구,10,9,29.268095275314863
6562,종로구,10,10,31.446007604600226
6563,종로구,10,11,31.1749773564024
6564,종로구,10,12,31.893938707497277
6565,종로구,10,13,30.69704711401857
6566,종로구,10,14,31.221069143485217
6567,종로구,10,15,30.437134034969066
6568,종로구,10,16,31.83179362593458
6569,종로구,10,17,32.414096020560336
6570,종로구,10,18,33.82819246941292
6571,종로구,10,19,34.0763660849771
6572,종로구,10,20,34.40489840852793
6573,종로구,10,21,32.08776291832672
6574,종로구,10,22,31.83186020943084
6575,종로구,10,23,29.72567235585492
6576,종로구,11,0,42.22555539070533
6577,종로구,11,1,40.54064641654506
6578,종로구,11,2,40.28456666463805
6579,종로구,11,3,38.66663161229304
6580,종로구,11,4,39.954580682872844
6581,종로구,11,5,39.02653502195579
6582,종로구,11,6,39.794146111352184
6583,종로구,11,7,39.610227318079474
6584,종로구,11,8,40.79336319104281
6585,종로구,11,9,41.13468630587651
6586,종로구,11,10,42.914160238299985
6587,종로구,11,11,42.445483693106155
6588,종로구,11,12,41.953836388073995
6589,종로구,11,13,41.46529523522011
6590,종로구,11,14,43.632570300801426
6591,종로구,11,15,42.365312777055735
6592,종로구,11,16,43.804229742045095
6593,종로구,11,17,44.76464091056454
6594,종로구,11,18,47.27982391873463
6595,종로구,11,19,48.15294263318066
6596,종로구,11,20,48.742723165158836
6597,종로구,11,21,46.89118671421157
6598,종로구,11,22,46.34865549705556
6599,종로구,11,23,42.8338819796456
6600,종로구,12,0,37.31003068969666
6601,종로구,12,1,35.23367866138908
6602,종로구,12,2,36.05135263920941
6603,종로구,12,3,35.39401273441502
6604,종로구,12,4,35.645422331127996
6605,종로구,12,5,35.484654254432144
6606,종로구,12,6,36.62836430055657
6607,종로구,12,7,36.521051284541294
6608,종로구,12,8,38.11457961889527
6609,종로구,12,9,38.98098213075062
6610,종로구,12,10,40.26044632192706
6611,종로구,12,11,41.12687508055083
6612,종로구,12,12,43.28667284262062
6613,종로구,12,13,41.45096322491066
6614,종로구,12,14,41.179894398496664
6615,종로구,12,15,40.26071191862283
6616,종로구,12,16,40.41933570732215
6617,종로구,12,17,40.82536121661434
6618,종로구,12,18,41.1833367431592
6619,종로구,12,19,40.526607792841794
6620,종로구,12,20,41.17614565821249
6621,종로구,12,21,39.82613152758821
6622,종로구,12,22,40.350237461395494
6623,종로구,12,23,38.30667761668324
6624,중구,1,0,39.372520624199396
6625,중구,1,1,37.87273969659353
6626,중구,1,2,37.787107250133126
6627,중구,1,3,36.78556042372623
6628,중구,1,4,37.27454737761066
6629,중구,1,5,36.19747264172102
6630,중구,1,6,37.33862851779021
6631,중구,1,7,38.62184705283508
6632,중구,1,8,40.85808879880716
6633,중구,1,9,40.52316615534435
6634,중구,1,10,42.679723171049616
6635,중구,1,11,40.68697177880729
6636,중구,1,12,39.67943772158832
6637,중구,1,13,40.049597138384335
6638,중구,1,14,40.84173423032149
6639,중구,1,15,39.16670239532018
6640,중구,1,16,39.34533171475812
