,구,오염물질,월,평균값
718,도봉구,SO2,11,0.003
719,도봉구,SO2,12,0.0023832658569500676
720,동대문구,CO,01,0.6337001375515818
721,동대문구,CO,02,0.5885885885885885
722,동대문구,CO,03,0.5554054054054054
723,동대문구,CO,04,0.38701117318435757
724,동대문구,CO,05,0.37638326585695003
725,동대문구,CO,06,0.3789106145251397
726,동대문구,CO,07,0.30611413043478264
727,동대문구,CO,08,0.33594594594594596
728,동대문구,CO,09,0.32609308885754584
729,동대문구,CO,10,0.4068723702664797
730,동대문구,CO,11,0.5673640167364017
731,동대문구,CO,12,0.5639118457300275
732,동대문구,NO2,01,0.03437212449255751
733,동대문구,NO2,02,0.03271921921921922
734,동대문구,NO2,03,0.03355405405405405
735,동대문구,NO2,04,0.023226256983240223
736,동대문구,NO2,05,0.021025641025641025
737,동대문구,NO2,06,0.019093575418994414
738,동대문구,NO2,07,0.016456521739130436
739,동대문구,NO2,08,0.016085135135135136
740,동대문구,NO2,09,0.015489421720733426
741,동대문구,NO2,10,0.024009817671809257
742,동대문구,NO2,11,0.03210739191073919
743,동대문구,NO2,12,0.03143978349120433
744,동대문구,O3,01,0.014778078484438429
745,동대문구,O3,02,0.022108108108108107
746,동대문구,O3,03,0.025177027027027028
747,동대문구,O3,04,0.038043296089385475
748,동대문구,O3,05,0.035337381916329284
749,동대문구,O3,06,0.04332531824611033
750,동대문구,O3,07,0.04058559782608696
751,동대문구,O3,08,0.03568243243243244
752,동대문구,O3,09,0.03179830747531735
753,동대문구,O3,10,0.02352314165497896
754,동대문구,O3,11,0.018786610878661087
755,동대문구,O3,12,0.014503382949932342
756,동대문구,PM10,01,0.03452581521739131
757,동대문구,PM10,02,0.046732732732732735
758,동대문구,PM10,03,0.06484146341463415
759,동대문구,PM10,04,0.040827731092436974
760,동대문구,PM10,05,0.06252137931034484
761,동대문구,PM10,06,0.03454965034965035
762,동대문구,PM10,07,0.023884353741496597
763,동대문구,PM10,08,0.021420270270270273
764,동대문구,PM10,09,0.014112994350282487
765,동대문구,PM10,10,0.026752461322081575
766,동대문구,PM10,11,0.04486013986013986
767,동대문구,PM10,12,0.038932341001353184
768,동대문구,PM2.5,01,0.02131529093369418
769,동대문구,PM2.5,02,0.02714114114114114
770,동대문구,PM2.5,03,0.027910931174089073
771,동대문구,PM2.5,04,0.016472067039106145
772,동대문구,PM2.5,05,0.017476775956284156
773,동대문구,PM2.5,06,0.019381284916201117
